"module","theorem","fq_name","source"
"LRA.Set.PredicateSet.Laws.Membership","instSeparationLaws","LRA.Set.PredicateSet.instSeparationLaws","LRA\Set\PredicateSet\Laws\Membership.lean"
"LRA.Set.PredicateSet.Laws.Membership","instSymmDiffMembershipLaws","LRA.Set.PredicateSet.instSymmDiffMembershipLaws","LRA\Set\PredicateSet\Laws\Membership.lean"
"LRA.Set.PredicateSet.Laws.Membership","instUniversalMembershipLaws","LRA.Set.PredicateSet.instUniversalMembershipLaws","LRA\Set\PredicateSet\Laws\Membership.lean"
"LRA.Set.PredicateSet.Laws.Subset","instSubsetLaws","LRA.Set.PredicateSet.instSubsetLaws","LRA\Set\PredicateSet\Laws\Subset.lean"
"LRA.Set.PredicateSet.Laws.SymmetricDifference","instSymmDiffLaws","LRA.Set.PredicateSet.instSymmDiffLaws","LRA\Set\PredicateSet\Laws\SymmetricDifference.lean"
"LRA.Set.PredicateSet.Laws.Union","instUnionLaws","LRA.Set.PredicateSet.instUnionLaws","LRA\Set\PredicateSet\Laws\Union.lean"
"LRA.Set.TG.OrderedPair.Theorems","instPairingLawsSet","LRA.Set.TG.instPairingLawsSet","LRA\Set\TG\OrderedPair\Theorems.lean"
"LRA.Set.TGSet.Laws.Difference","instDifferenceLawsSet","LRA.Set.TGSet.instDifferenceLawsSet","LRA\Set\TGSet\Laws\Difference.lean"
"LRA.Set.TGSet.Laws.Distributivity","instDistributivityLawsSet","LRA.Set.TGSet.instDistributivityLawsSet","LRA\Set\TGSet\Laws\Distributivity.lean"
"LRA.Set.TGSet.Laws.Intersection","instIntersectionLawsSet","LRA.Set.TGSet.instIntersectionLawsSet","LRA\Set\TGSet\Laws\Intersection.lean"
"LRA.Set.TGSet.Laws.Membership","instCollectionMembershipLawsSet","LRA.Set.TGSet.instCollectionMembershipLawsSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Membership","instExtensionalityLawSet","LRA.Set.TGSet.instExtensionalityLawSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Membership","instMembershipLawsSet","LRA.Set.TGSet.instMembershipLawsSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Membership","instPowersetMembershipLawsSet","LRA.Set.TGSet.instPowersetMembershipLawsSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Membership","instSeparationLawsSet","LRA.Set.TGSet.instSeparationLawsSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Membership","instSymmDiffMembershipLawsSet","LRA.Set.TGSet.instSymmDiffMembershipLawsSet","LRA\Set\TGSet\Laws\Membership.lean"
"LRA.Set.TGSet.Laws.Subset","instSubsetLawsSet","LRA.Set.TGSet.instSubsetLawsSet","LRA\Set\TGSet\Laws\Subset.lean"
"LRA.Set.TGSet.Laws.SymmetricDifference","instSymmDiffLawsSet","LRA.Set.TGSet.instSymmDiffLawsSet","LRA\Set\TGSet\Laws\SymmetricDifference.lean"
"LRA.Set.TGSet.Laws.Union","instUnionLawsSet","LRA.Set.TGSet.instUnionLawsSet","LRA\Set\TGSet\Laws\Union.lean"
"LRA.Set.ZFC.OrderedPair.Theorems","instPairingLawsSet","LRA.Set.ZFC.instPairingLawsSet","LRA\Set\ZFC\OrderedPair\Theorems.lean"
"LRA.Set.ZFCSet.Laws.Difference","instDifferenceLawsSet","LRA.Set.ZFCSet.instDifferenceLawsSet","LRA\Set\ZFCSet\Laws\Difference.lean"
"LRA.Set.ZFCSet.Laws.Distributivity","instDistributivityLawsSet","LRA.Set.ZFCSet.instDistributivityLawsSet","LRA\Set\ZFCSet\Laws\Distributivity.lean"
"LRA.Set.ZFCSet.Laws.Intersection","instIntersectionLawsSet","LRA.Set.ZFCSet.instIntersectionLawsSet","LRA\Set\ZFCSet\Laws\Intersection.lean"
"LRA.Set.ZFCSet.Laws.Membership","instCollectionMembershipLawsSet","LRA.Set.ZFCSet.instCollectionMembershipLawsSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Membership","instExtensionalityLawSet","LRA.Set.ZFCSet.instExtensionalityLawSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Membership","instMembershipLawsSet","LRA.Set.ZFCSet.instMembershipLawsSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Membership","instPowersetMembershipLawsSet","LRA.Set.ZFCSet.instPowersetMembershipLawsSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Membership","instSeparationLawsSet","LRA.Set.ZFCSet.instSeparationLawsSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Membership","instSymmDiffMembershipLawsSet","LRA.Set.ZFCSet.instSymmDiffMembershipLawsSet","LRA\Set\ZFCSet\Laws\Membership.lean"
"LRA.Set.ZFCSet.Laws.Subset","instSubsetLawsSet","LRA.Set.ZFCSet.instSubsetLawsSet","LRA\Set\ZFCSet\Laws\Subset.lean"
"LRA.Set.ZFCSet.Laws.SymmetricDifference","instSymmDiffLawsSet","LRA.Set.ZFCSet.instSymmDiffLawsSet","LRA\Set\ZFCSet\Laws\SymmetricDifference.lean"
"LRA.Set.ZFCSet.Laws.Union","instUnionLawsSet","LRA.Set.ZFCSet.instUnionLawsSet","LRA\Set\ZFCSet\Laws\Union.lean"
